Feature,MeanAbsSHAP,MeanAbsLIME
E134,15.82264872416782,0.0027280974293303947
E245,15.457573394448323,0.002512001664588398
E107,8.260504513898951,0.0027982818262423425
E268,5.7094899282312666,0.002935310077124832
E292,2.779659356735058,0.0023122603073336178
E123,1.2135819481254189,0.002467634324728461
E265,0.18715412302009085,0.00258347395190632
E122,0.18130224657193172,0.0025860768080359997
E444,0.08799476189798497,0.002519242243552679
E124,0.05317480703412966,0.002488871629727531
E481,0.047414983066716,0.0022934785117691096
E479,0.015217059785695921,0.00280421976696544
E273,0.012380130192248534,0.002449284976908443
E202,0.0012737674882429752,0.002233386130418955
E271,0.0010559416680699443,0.002642424028945253
E130,0.0007981230621121904,0.0024725798847014414
E63,0.000306438895335697,0.002754553064281507
E482,0.00018756004833499093,0.0022197998764147127
E486,0.00015315080285074745,0.0028666933643683133
E75,0.00014943212242704367,0.00235829239495477
E111,0.00013637205785112477,0.002206256766451377
E96,0.00010298060904352288,0.0025703977002876923
E480,4.0757982542790675e-05,0.0023115386084238587
E483,1.4043851276380512e-05,0.0025253218012950716
E463,1.3881861272388103e-05,0.0023570184152889
E159,1.2570096256696393e-05,0.0023652696052895135
E81,1.0771851172379455e-05,0.0025013789124238646
E52,9.429833996045024e-06,0.002765440097174264
E366,7.754544219241067e-06,0.002605781343336187
E406,7.736280007025924e-06,0.0027066532620584893
E210,7.590085139036403e-06,0.00245656427749364
E49,7.087237115941689e-06,0.0025366242859010857
E252,6.62368058987606e-06,0.0025273378651872957
E391,6.302686333150046e-06,0.00267234441131559
E399,5.994600678731152e-06,0.0026208946143100355
E246,5.061510039871868e-06,0.0025648848784192314
E190,4.065391328145648e-06,0.0028001717104211782
E94,4.048138002700376e-06,0.0022430849107023553
E388,3.875913195261395e-06,0.00257175373073348
E332,3.8608110563246404e-06,0.0022907768098550337
E395,3.837604859003781e-06,0.002282329929504144
E153,3.6143682586126847e-06,0.0025068747667400465
E76,3.4273470774946573e-06,0.002444656640884977
E293,3.1761661732907633e-06,0.0024906081725887624
E387,3.111499935128082e-06,0.0024916439051197756
E78,2.7914228142544623e-06,0.002192999342316012
E474,2.7896908207781763e-06,0.002391818591189322
E416,2.659783644740662e-06,0.0023724472562501125
E374,2.4575043231711505e-06,0.0023061690027541813
E289,2.3565513762091865e-06,0.0024915033536051716
E214,2.332652522499515e-06,0.0027002678480131702
E476,2.320931635328202e-06,0.0023086595157952904
E493,2.2449028465192615e-06,0.0024369262155193943
E418,2.119712601459085e-06,0.0022989503110027285
E205,2.014192779522186e-06,0.0026344558210895912
E50,1.756308643875057e-06,0.0026214640033380495
E478,1.7183162828027275e-06,0.002630459751782066
E223,1.6636840372302361e-06,0.0022963240661208763
E403,1.6495546588917376e-06,0.0025628810060387562
E385,1.625703045550734e-06,0.0025679788070847452
E257,1.6188290479848872e-06,0.002611273813680317
E445,1.4665301531617446e-06,0.0025927524296714623
E189,1.454155076921779e-06,0.002475700524023661
E392,1.3425810345543622e-06,0.002671080990329783
E211,1.2285590206621479e-06,0.0025628819468659935
E379,1.2268172533973608e-06,0.0026442312839140914
E156,1.2168463638452663e-06,0.002442099282856811
E386,1.2142924153053622e-06,0.0027333507147263574
E494,1.0353987806760419e-06,0.002583686089869361
E95,9.910776640981372e-07,0.0023914139698990237
E213,9.603063146793102e-07,0.0024853779979835673
E394,9.596666753719119e-07,0.0026302752773874174
E218,8.686219840469852e-07,0.0024687000345970044
E191,7.94205247926749e-07,0.002468174776086324
E334,6.950221427040174e-07,0.0023382573363874217
E296,6.881302155062485e-07,0.002496090389664476
E256,6.466085062433996e-07,0.0025970239054632638
E346,6.194100270607384e-07,0.0024075357091450527
E319,6.083307569415272e-07,0.002400765386487599
E477,6.040366262226775e-07,0.002430568390210422
E390,5.992400331564268e-07,0.0026154651870552194
E423,5.647102584689284e-07,0.0027007700625795287
E393,4.2540249437985243e-07,0.0020076263174676375
E460,4.2506419542487934e-07,0.002639619333933188
E349,4.239613492549722e-07,0.0023445909072916356
E89,4.2295641897230044e-07,0.002530397180651547
E269,4.1079048416252915e-07,0.002676006052349604
E306,4.0785634756751354e-07,0.0027544338562940775
E308,3.980647516603203e-07,0.002796231473716948
E226,3.765023307285427e-07,0.0026610576573814194
E314,2.9342028748469636e-07,0.0027107278003552647
E350,2.933602706181419e-07,0.002502420074821134
E309,2.8628998221761033e-07,0.0024661789677356263
E222,2.6875234812113616e-07,0.0025768577722830527
E212,2.652576556428505e-07,0.00305199532787896
E307,2.547216089079881e-07,0.002278188606622661
E90,2.261596840351865e-07,0.0025925092521946937
E487,2.2290849596443682e-07,0.0023932457973039724
E446,2.2174263622145685e-07,0.0025196894712011465
E348,1.995061943612602e-07,0.002359123344441936
E320,1.7230506027428683e-07,0.002682344082030086
E305,1.5612067341775996e-07,0.002703797865122508
E380,1.433863899238529e-07,0.002591247265321567
E258,1.4204270325056455e-07,0.0024802528419697665
E415,1.3608933538078357e-07,0.0026439862727762947
E304,1.3475240633443643e-07,0.0027375065960732444
E302,1.332176636681403e-07,0.0028875048013997286
E411,1.2603859870896063e-07,0.002679516429450979
E88,1.201082861518507e-07,0.0026435844222874936
E61,1.0352353432091971e-07,0.002504107311302537
E207,9.346584044452288e-08,0.0024185398718253666
E262,8.06568877283468e-08,0.0026130254536464313
E495,7.713806556811262e-08,0.002733274482599418
E121,4.3101692177304e-08,0.002660562273333652
E127,3.690849819057648e-08,0.0022893806705770615
E338,2.324293130568584e-08,0.00253338221638589
E217,1.8938069966551112e-08,0.002584746106860781
E221,3.154024015231783e-09,0.002378238543540029
E260,2.217614297842294e-09,0.0026343372053319603
E382,1.7390859968068287e-09,0.0027699029417464238
E244,9.335686677440166e-10,0.002457728469798916
E409,7.543084384896941e-10,0.0024824267560398174
E401,7.315592547498504e-21,0.002543494067546125
E220,9.189916441681865e-23,0.0028901042734001377
E816,0.0,0.002663371541453007
E801,0.0,0.0027419431223136056
E791,0.0,0.0025110938309133592
E792,0.0,0.002351743035238224
E793,0.0,0.0025396513066778437
E794,0.0,0.0026804769579156194
E795,0.0,0.0024248487214916653
E796,0.0,0.002419232508707017
E797,0.0,0.00231914649749277
E818,0.0,0.0025088582961462227
E798,0.0,0.0024448343844765946
E799,0.0,0.002535216302761647
E800,0.0,0.0025396568121037787
E802,0.0,0.0025003876991782047
E815,0.0,0.0028900605106912513
E803,0.0,0.002729271984086939
E804,0.0,0.0026236086549747055
E805,0.0,0.0024724518749939693
E806,0.0,0.0029588661592274577
E807,0.0,0.002520091622826576
E808,0.0,0.002725240348000765
E809,0.0,0.002318782396683135
E810,0.0,0.0024846632183687127
E811,0.0,0.002294656687912522
E812,0.0,0.0027432415595663884
E817,0.0,0.0024327757990513193
E814,0.0,0.0023847947498115392
E813,0.0,0.0025274502040522895
E824,0.0,0.0025582897458402637
E819,0.0,0.002593614215549096
E820,0.0,0.0021900963136890156
E839,0.0,0.002519346897276699
E840,0.0,0.002733033455744368
E841,0.0,0.0026343383928300853
E842,0.0,0.002595885819939374
E843,0.0,0.0023483534386684658
E844,0.0,0.002578696080013438
E845,0.0,0.0023606110635984367
E846,0.0,0.0027491668060429797
E847,0.0,0.00276686951878284
E848,0.0,0.002278243767350042
E849,0.0,0.0023279893955495514
E850,0.0,0.0023802073522787436
E851,0.0,0.0025846299883411816
E852,0.0,0.0026827128879593543
E853,0.0,0.0022638398048253614
E838,0.0,0.0029615192053133454
E837,0.0,0.0022653220161931793
E836,0.0,0.0022575842825820406
E827,0.0,0.002469139353839016
E821,0.0,0.00272104582577418
E822,0.0,0.002803447746249776
E823,0.0,0.0024663875284046313
E789,0.0,0.0028262624882050315
E825,0.0,0.00277201310739399
E826,0.0,0.0026384930041557907
E828,0.0,0.0025623301339517735
E835,0.0,0.0028428282000854573
E829,0.0,0.002451309929789512
E830,0.0,0.0029257401969824148
E831,0.0,0.002673251903617193
E832,0.0,0.0024945171836020692
E833,0.0,0.002488769586375545
E834,0.0,0.0025927188839825798
E790,0.0,0.002331003685312001
E762,0.0,0.0024507820458050753
E788,0.0,0.002277725986844563
E755,0.0,0.0022149963946091564
E753,0.0,0.002456813024461505
E752,0.0,0.002420398607685537
E751,0.0,0.002660909290357423
E750,0.0,0.0027526415388372553
E749,0.0,0.0025048522792068834
E748,0.0,0.002676122773918671
E747,0.0,0.0026111648062080595
E746,0.0,0.002468726942663399
E745,0.0,0.002515857595490304
E744,0.0,0.0027484701906503716
E743,0.0,0.0024703159810090924
E742,0.0,0.0029765052783010887
E741,0.0,0.002283510776322406
E740,0.0,0.0028724975077862656
E739,0.0,0.002745243799813306
E738,0.0,0.002875148006101814
E737,0.0,0.0025876140059653487
E736,0.0,0.00216540186050592
E735,0.0,0.0021196003493262395
E734,0.0,0.0025609652178848865
E733,0.0,0.002662839750516012
E732,0.0,0.003053651011344757
E731,0.0,0.002339549710330904
E730,0.0,0.002579945384977054
E729,0.0,0.002403688200482119
E728,0.0,0.0028410893143375466
E727,0.0,0.002539689110893672
E726,0.0,0.0027912822078701174
E725,0.0,0.0024848708313823923
E754,0.0,0.0027706251473179873
E756,0.0,0.002764365328648637
E787,0.0,0.002714782265382459
E757,0.0,0.002534165332557708
E786,0.0,0.0026242796311518124
E785,0.0,0.0029104366321172064
E784,0.0,0.0027111225977895725
E783,0.0,0.0026170703497843013
E782,0.0,0.002659281899851473
E781,0.0,0.002783217097074786
E780,0.0,0.002320927996134307
E779,0.0,0.0026042110545868185
E778,0.0,0.00285552659836391
E777,0.0,0.0025697469605082722
E776,0.0,0.002866998818828923
E775,0.0,0.002728713797115764
E774,0.0,0.002427701407894132
E773,0.0,0.002562099439225791
E772,0.0,0.002589310192968175
E771,0.0,0.0023070763957109474
E770,0.0,0.0021761776567207434
E769,0.0,0.0024471335497174705
E768,0.0,0.002606396588669749
E767,0.0,0.0023104981233976335
E766,0.0,0.002545097045364616
E765,0.0,0.002455195094067471
E764,0.0,0.002501722955466265
E763,0.0,0.0025294483985895
E855,0.0,0.002802442692378655
E761,0.0,0.0026131079678263797
E760,0.0,0.002243981576045911
E759,0.0,0.0027186281417525982
E758,0.0,0.003014220146678222
E854,0.0,0.0026787924648854745
E883,0.0,0.0023426372337311072
E856,0.0,0.002782230197848399
E939,0.0,0.0025550232515189277
E953,0.0,0.0025715134951558947
E952,0.0,0.0024179730996320595
E951,0.0,0.0027341278979128108
E950,0.0,0.0027108829276438003
E949,0.0,0.002674947767978789
E948,0.0,0.002765183845829159
E947,0.0,0.002619759135073266
E946,0.0,0.0026141042527127213
E945,0.0,0.0026844548683202176
E944,0.0,0.0025506068333357762
E943,0.0,0.0024788952746901483
E942,0.0,0.002555942547426679
E941,0.0,0.0029032373330131
E940,0.0,0.002342499657294575
E938,0.0,0.002480097540496568
E857,0.0,0.0026051792218764803
E937,0.0,0.00269664710610913
E936,0.0,0.0022329667997849417
E935,0.0,0.0027234503166280177
E934,0.0,0.002324434566077376
E933,0.0,0.0028877627168913057
E932,0.0,0.0027200395090409423
E931,0.0,0.0025459393689274508
E930,0.0,0.002289641410834526
E929,0.0,0.0025879596565822737
E928,0.0,0.0028071368376866896
E927,0.0,0.002617414424371971
E926,0.0,0.0029980890976108398
E925,0.0,0.0025228127188981404
E924,0.0,0.002542429091002171
E954,0.0,0.0024736272603491792
E955,0.0,0.002033084881074451
E956,0.0,0.002596513384353099
E957,0.0,0.0029540738882794047
E986,0.0,0.002292937580905447
E985,0.0,0.0023778093662428566
E984,0.0,0.0023097261462066555
E983,0.0,0.0022894822253408547
E982,0.0,0.0027653622968916904
E981,0.0,0.0025054271058178746
E980,0.0,0.0026123268896867885
E979,0.0,0.0022078342897878366
E978,0.0,0.0028049149383909187
E977,0.0,0.002936510214400618
E976,0.0,0.0028508922575554213
E975,0.0,0.0023609629091159955
E974,0.0,0.002609932555886689
